Username,FullName,Email,DateOfBirth,Phone,ProgrammingLanguage,Framework,Tool,Knowledge,Platform
User01,Phan Van Vu,phanvanvu720@gmail.com,04/06/1997,+84645117297,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User02,Tran Van Huong,tranvanhuong355@gmail.com,07/29/1997,+84343759564,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User03,Nguyen Van Thuy,nguyenvanthuy411@gmail.com,07/01/2004,+84924471026,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User04,Nguyen Van Thi,nguyenvanthi680@gmail.com,09/09/2004,+84857554077,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User05,Tran Thi Viet,tranthiviet438@gmail.com,06/06/2000,+84344895328,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User06,Phan Van Thi,phanvanthi935@gmail.com,03/06/2001,+84590421757,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User07,Le Thi Thuy,lethithuy774@gmail.com,12/16/1996,+84109967136,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User08,Tran Van Vu,tranvanvu413@gmail.com,02/25/1999,+84624218645,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User09,Nguyen Van Huong,nguyenvanhuong636@gmail.com,04/14/1999,+84510898640,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User010,Tran Van Huong,tranvanhuong984@gmail.com,03/25/2008,+84285109383,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User011,Tran Thi Thi,tranthithi870@gmail.com,05/28/1997,+84791690783,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User012,Tran Thi Sang,tranthisang286@gmail.com,12/13/2004,+84939679836,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User013,Phan Thi Dang,phanthidang561@gmail.com,07/01/1996,+84791689416,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User014,Nguyen Thi Thuy,nguyenthithuy523@gmail.com,05/18/2005,+84895883724,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User015,Phan Thi Dang,phanthidang940@gmail.com,02/16/2003,+84904875054,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User016,Le Thi Sang,lethisang745@gmail.com,08/06/2002,+84125794642,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User017,Le Van Dang,levandang602@gmail.com,04/30/1999,+84798458391,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User018,Le Thi Vu,lethivu988@gmail.com,01/23/2001,+84139251445,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User019,Nguyen Van Thi,nguyenvanthi164@gmail.com,11/21/2008,+84768798202,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
User020,Le Van Huong,levanhuong645@gmail.com,12/18/2005,+84680559330,"JAVA, PYTHON, C#","PANDAS, SPARK, SPRING, ASP.NET","GIT, MYSQL, ORACLE DATABASE","ANALYSIS, DATABASE, OOP, ALGORITHM, DATA ANALYSIS, DATA WAREHOUSE","AZURE, CLOUD, MYSQL"
